	郜林	武磊	郑龙	于汉超	吴曦	杨旭	毛剑卿	高拉特	海森	德扬
1	0	0	0	1	0	0	0	1	1	1
2	1	0	0	0	0	0	1	1	1	1
3	0	0	0	0	0	0	0	0	1	0
4	0	0	0	0	0	0	0	0	0	0
5	2	0	0	0	0	0	0	1	1	0
6	0	0	0	0	0	2	0	0	1	0
7	1	1	0	0	1	0	1	1	0	0
8	1	0	0	0	0	0	0	1	0	0
9	1	1	0	2	0	0	0	3	2	0
10	1	0	0	0	0	2	0	0	1	2
11	1	0	1	0	0	1	1	1	0	0
12	0	0	1	1	1	0	0	0	0	0
13	0	1	1	0	0	0	0	0	0	0
14	0	0	0	0	0	0	1	0	1	1
15	0	0	0	0	1	0	0	0	2	2
16	1	1	2	0	0	0	0	0	0	1
17	1	1	0	0	0	0	0	2	0	0
18	0	0	1	0	1	0		0	0	1
19	0	0	0	1	0	0		1	0	1
20	2	0	1		1	0		1		
21	1	2	0		0	0		0		
22		0	0		0					
		2	0		0					
		0			0					
